Any,Indicador,Nom_Equipament,Valor,Notes_Dades,Notes_Equipament,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,Tipus_Us,Tipus_Equipament,Ambit,Latitud,Longitud
2022,Fons_Documentals,"Biblioteca Esquerra de l'Eixample - Agustí Centelles",88152,,,02,Eixample,09,"la Nova Esquerra de l'Eixample","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.3864488,2.1527896
2022,Fons_Documentals,"Biblioteca Fort Pienc",55487,,,02,Eixample,05,"el Fort Pienc","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.395555185,2.182447586
2022,Fons_Documentals,"Biblioteca Joan Miró",57745,,,02,Eixample,09,"la Nova Esquerra de l'Eixample","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.378816801,2.149230361
2022,Fons_Documentals,"Biblioteca Sagrada Família - J. M. Ainaud de Lasarte",86079,,,02,Eixample,06,"la Sagrada Família","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.4055771,2.176118
2022,Fons_Documentals,"Biblioteca Sant Antoni - Joan Oliver",39742,,,02,Eixample,10,"Sant Antoni","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.377384776,2.162778079
2022,Fons_Documentals,"Biblioteca Sofia Barat",31161,,,02,Eixample,07,"la Dreta de l'Eixample","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.394674294,2.171504480
2022,Fons_Documentals,"Biblioteca Jaume Fuster",113238,,,06,Gràcia,28,"Vallcarca i els Penitents","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.407459888,2.149757498
2022,Fons_Documentals,"Biblioteca Vallcarca i els Penitents - M. Antonieta Cot",36766,,,06,Gràcia,28,"Vallcarca i els Penitents","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.420008234,2.139657303
2022,Fons_Documentals,"Biblioteca Vila de Gràcia",45670,,,06,Gràcia,31,"la Vila de Gràcia","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.401467067,2.158213802
2022,Fons_Documentals,"Biblioteca El Carmel - Juan Marsé",91198,,,07,Horta-Guinardó,37,"el Carmel","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.421104560,2.155286623
2022,Fons_Documentals,"Biblioteca Guinardó - Mercè Rodoreda",83283,,,07,Horta-Guinardó,33,"el Baix Guinardó","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.414313258,2.165318095
2022,Fons_Documentals,"Biblioteca Horta - Can Mariner",54977,,,07,Horta-Guinardó,43,Horta,"Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.431105502,2.160733590
2022,Fons_Documentals,"Biblioteca Montbau - Albert Pérez Baró",33860,,,07,Horta-Guinardó,40,Montbau,"Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.429553532,2.142195427
2022,Fons_Documentals,"Biblioteca Les Corts - Miquel Llongueras",55912,,,04,"Les Corts",20,"la Maternitat i Sant Ramon","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.377777960,2.121760828
2022,Fons_Documentals,"Biblioteca Montserrat Abelló",56826,,"Biblioteca inaugurada el 26 de gener de 2018.",04,"Les Corts",19,"les Corts","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.383722,2.1352722
2022,Fons_Documentals,"Biblioteca Canyelles",29206,,,08,"Nou Barris",49,Canyelles,"Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.443773486,2.164322669
2022,Fons_Documentals,"Biblioteca Les Roquetes - Rafa Juncadella",38881,,,08,"Nou Barris",50,"les Roquetes","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.445371792,2.177103706
