,Name,Road Name,Street Number,Neighborhood ID,Neighborhood Name,District ID,District Name,ZipCode,Service Type,geo_epgs_25831_x,geo_epgs_25831_y,Latitude,Longitude,Simple Service Type
114,Centre Universitari EAE,C Aragó,55.0,9,la Nova Esquerra de l'Eixample,2,Eixample,8015,University,428839.8328044723,4581330.227881447,41.38034947242665,2.1489708474391604,University
115,"Centre Educatiu Jesús, Maria i Josep",C Sant Sebastià,55.0,60,Sant Andreu,9,Sant Andreu,8030,"Kindergarten, Primary & Secondary School",432477.73536585545,4586655.258695906,41.428623982737015,2.1918794854045887,General School (with kindergarten)
116,Escola la Farigola de Vallcarca,C Sant Camil,31.0,28,Vallcarca i els Penitents,6,Gràcia,8023,Kindergarten & Primary School,428684.9705220079,4585049.295570593,41.4138319736047,2.146680968580762,Kindergarten & Primary School
117,Escola La Farigola del Clot,Carrer d'Hernán Cortés,6.0,65,el Clot,10,Sant Martí,8018,Kindergarten & Primary School,432137.28117943474,4584131.240232374,41.405862270546855,2.188088422236328,Kindergarten & Primary School
118,Centre d'Estudis Històrics Internacionals,Jorge Manrique,9.0,41,la Vall d'Hebron,7,Horta-Guinardó,8035,University,429104.7590482898,4586934.176288257,41.43084545648815,2.151482440531504,University
119,Centre Educatiu Nou Patufet,C Bruniquer,25.0,31,la Vila de Gràcia,6,Gràcia,8012,"Kindergarten, Primary & Secondary School",429848.61843320006,4584031.666736465,41.40476898599986,2.160721107653559,General School (with kindergarten)
120,Institut Anna Gironella de Mundet,Pg Vall d'Hebron,171.0,40,Montbau,7,Horta-Guinardó,8035,Secondary School & FP,428749.24038276897,4587483.286863798,41.435759593982205,2.147163094335721,High School
121,Escola Universitària d'Infermeria - UAB,Sant Antoni Maria Claret,167.0,35,el Guinardó,7,Horta-Guinardó,8025,University,431113.7429716268,4584868.611835484,41.41241647123583,2.1757600481895056,University
122,Granja-Escola Sinaí,C Indústria,137.0,6,la Sagrada Família,2,Eixample,8025,FP,430900.64911154966,4584526.115131442,41.40931342894633,2.1732496979114297,FP
123,Escola Pompeu Fabra,Carrer d'Olesa,19.0,62,el Congrés i els Indians,9,Sant Andreu,8027,Kindergarten & Primary School,431760.9824762242,4585900.952903217,41.42176963946599,2.183387199234325,Kindergarten & Primary School
124,Escola Politècnica Superior d'Edificació de Barcelona - UPC,Av Doctor Marañón,44.0,20,la Maternitat i Sant Ramon,4,Les Corts,8028,University,425815.8111156599,4581738.818243703,41.383756336159095,2.1127595762315243,University
125,Centre d'Història Contemporània de Catalunya,Plaça de Pau Vila,3.0,3,la Barceloneta,1,Ciutat Vella,8003,University,431926.0597929916,4581354.891276275,41.3808386412199,2.1858736814996145,University
126,Consorci Universitat Internacional Menéndez Pelayo de Barcelona - Centre Ernest Lluch,C Montalegre,5.0,1,el Raval,1,Ciutat Vella,8001,University,430335.5441832022,4581711.515471728,41.38391450226559,2.1668129104163323,University
127,Escola de Bosc de Montjuïc,Av Miramar,11.0,11,el Poble-sec,3,Sants-Montjuïc,8038,Kindergarten & Primary School,429838.2253574343,4580083.686259034,41.36920994679894,2.1610540123451862,Kindergarten & Primary School
128,Grup d'Estudi i Conservació dels Mamifers Marins,Baldiri Reixac,4.0,20,la Maternitat i Sant Ramon,4,Les Corts,8028,University,426122.9891761777,4581526.199385967,41.38186963690709,2.116458918258774,University
129,Institut Menéndez y Pelayo,Via Augusta,140.0,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8006,Secondary School,428513.7695087025,4583523.48841316,41.40007443665589,2.1448129112351144,High School
130,Centre Educatiu Prínceps 23 d'Abril,Carrer de l'Artesania,38.0,51,Verdun,8,Nou Barris,8042,Kindergarten & Primary School,431054.2258445,4587888.0826521,41.43960663778714,2.1747036678359866,Kindergarten & Primary School
