,Name,Street ID,Road Name,Street Number,Neighborhood ID,Neighborhood Name,District ID,District Name,ZipCode,Service Type,geo_epgs_25831_x,geo_epgs_25831_y,Latitude,Longitude
309,Farmàcia Garrabe Canet,97807,Dante Alighieri,118.0,37,el Carmel,7,Horta-Guinardó,8032.0,Pharmacy,429413.8641402035,4586494.8706335295,41.42691603733766,2.155232906151498
310,Farmàcia Bouffard Fita *Roger de Llúria,176801,C Roger de Llúria,17.0,7,la Dreta de l'Eixample,2,Eixample,8010.0,Pharmacy,430757.2519265545,4582474.311114993,41.39082117129279,2.171768841864504
311,Farmàcia Gaspà Massana,253800,Perpinyà,25.0,70,el Besòs i el Maresme,10,Sant Martí,8019.0,Pharmacy,434398.3889322962,4585576.158590717,41.41906398134644,2.214981235905049
312,Farmàcia Fernández Pérez,330708,C Taquígraf Garriga,63.0,19,les Corts,4,Les Corts,8029.0,Pharmacy,427714.8725582742,4582185.507296176,41.387952360544105,2.1354164787306096
313,Farmàcia Peñafiel Vercher,81603,C Clot,57.0,65,el Clot,10,Sant Martí,8018.0,Pharmacy,432146.5890424282,4584362.325980784,41.40794437498065,2.188173862446501
314,Farmàcia Sánchez Sabaté,144601,Av Diagonal,180.0,71,Provençals del Poblenou,10,Sant Martí,8018.0,Pharmacy,432638.9953175144,4584071.446915776,41.40536592693715,2.194097027825503
315,Farmàcia Massague Vendrell,333400,C González Tablas,3.0,21,Pedralbes,4,Les Corts,8034.0,Pharmacy,425545.6607053531,4581903.831574007,41.38521758027628,2.1095086825900737
316,Farmàcia Fernández Pradas,351107,C Vallseca,30.0,34,Can Baró,7,Horta-Guinardó,8024.0,Pharmacy,430049.4822408296,4585191.585468345,41.41523345057308,2.1629898744201075
317,Farmàcia Vilanova Amat,249304,C Pere IV,210.0,68,el Poblenou,10,Sant Martí,8005.0,Pharmacy,433018.8386635685,4583890.022760536,41.403763628616765,2.1986610996789504
318,Farmàcia Ramos Sierra,209900,Av Meridiana,320.0,61,la Sagrera,9,Sant Andreu,8027.0,Pharmacy,432076.811342717,4586233.378726897,41.42479045043872,2.1871290013175377
319,Farmàcia Palacio Bescos,365702,Av Mare Déu de Montserrat,158.0,35,el Guinardó,7,Horta-Guinardó,8041.0,Pharmacy,430839.049490762,4585592.637721181,41.41891392426199,2.1723908295253125
320,Farmàcia Martín Miralles,270708,Puig-reig,10.0,27,el Putxet i el Farró,5,Sarrià-Sant Gervasi,8006.0,Pharmacy,428371.7907776823,4584042.69231939,41.40473806202911,2.143053171418764
321,Farmàcia Mancho,365702,Av Mare Déu de Montserrat,109.0,35,el Guinardó,7,Horta-Guinardó,8024.0,Pharmacy,430512.7077289556,4585256.42793169,41.41585765056444,2.168524702645796
322,Farmàcia Vilar Buhler *Estació de Sants,700445,Pl Països Catalans,1.0,18,Sants,3,Sants-Montjuïc,8014.0,Pharmacy,428157.2394584265,4581248.971530161,41.379556967903945,2.1408179856438947
323,Farmàcia Botet Carreras,161101,Independència,345.0,64,el Camp de l'Arpa del Clot,10,Sant Martí,8026.0,Pharmacy,431424.031998614,4584669.38984095,41.4106486803269,2.179494940995628
324,Farmàcia Cucarull Roca,297001,Sant Antoni Maria Claret,460.0,63,Navas,9,Sant Andreu,8027.0,Pharmacy,431976.0824357919,4585663.317262769,41.4196475746511,2.1859877681088435
