Curs,Codi centre,Denominació completa,Codi municipi_5,Codi municipi_6,Nom municipi,Dones,Homes,Total
2023/2024,08044168,INSTITUT PLA DE LES MORERES,08302,083020,VILANOVA DEL CAMÍ,50,25,75
2023/2024,08044156,EA DEIÀ,08019,080193,BARCELONA,31,21,52
2023/2024,08044120,CFA FREIRE,08019,080193,BARCELONA,6,4,10
2023/2024,08044077,EA JOSEP SERRA I ABELLA,08101,081017,L'HOSPITALET DE LLOBREGAT,29,22,51
2023/2024,08044053,INSTITUT SALVADOR SEGUÍ,08019,080193,BARCELONA,109,29,138
2023/2024,08044028,CEE HORITZÓ,08163,081635,PINEDA DE MAR,26,4,30
2023/2024,08044016,ESCOLA FLAMA,08213,082135,SANT FRUITÓS DE BAGES,27,3,30
2023/2024,08043981,INSTITUT JOAN RAMON BENAPRÈS,08270,082704,SITGES,53,36,89
2023/2024,08043978,INSTITUT DANIEL BLANXART I PEDRALS,08147,081477,OLESA DE MONTSERRAT,67,49,116
2023/2024,08043966,ESCOLA HEURA,08019,080193,BARCELONA,15,1,16
2023/2024,08043954,ESCOLA RIBATALLADA,08187,081878,SABADELL,17,4,21
2023/2024,08043942,ESCOLA MONTBUI,08033,080333,CALDES DE MONTBUI,24,3,27
2023/2024,08043930,ESCOLA MARINADA,08118,081189,EL MASNOU,13,3,16
2023/2024,08043929,ESCOLA LLEBETX,08307,083073,VILANOVA I LA GELTRÚ,18,5,23
2023/2024,08043917,ESCOLA COSSETÀNIA,08307,083073,VILANOVA I LA GELTRÚ,14,2,16
2023/2024,08043905,ESCOLA EL DOFÍ,08172,081727,PREMIÀ DE MAR,15,1,16
2023/2024,08043899,ESCOLA TÀBER,08019,080193,BARCELONA,30,2,32
2023/2024,08043887,ESCOLA SAGRADA FAMÍLIA,08019,080193,BARCELONA,33,4,37
2023/2024,08043875,ESCOLA PIT-ROIG,08019,080193,BARCELONA,13,3,16
2023/2024,08043863,ESCOLA ORLANDAI,08019,080193,BARCELONA,15,1,16
2023/2024,08043851,ESCOLA NABÍ,08019,080193,BARCELONA,13,3,16
2023/2024,08043841,ESCOLA LAVÍNIA,08019,080193,BARCELONA,14,2,16
2023/2024,08043838,ESCOLA TURÓ DEL CARGOL,08019,080193,BARCELONA,15,3,18
2023/2024,08043814,ESCOLA CARLIT,08019,080193,BARCELONA,15,2,17
2023/2024,08043796,ESCOLA BARRUFET,08019,080193,BARCELONA,27,4,31
2023/2024,08043784,ESCOLA ÀNGELS GARRIGA,08019,080193,BARCELONA,12,4,16
2023/2024,08043760,ESCOLA COLÒNIA GÜELL,08244,082444,SANTA COLOMA DE CERVELLÓ,26,3,29
2023/2024,08043747,ESCOLA BALOO,08019,080193,BARCELONA,13,4,17
2023/2024,08043693,INSTITUT JOAQUIM MIR,08307,083073,VILANOVA I LA GELTRÚ,68,48,116
2023/2024,08043681,INSTITUT MARIANAO,08200,082009,SANT BOI DE LLOBREGAT,53,46,99
2023/2024,08043671,INSTITUT EL PALAU,08196,081960,SANT ANDREU DE LA BARCA,60,51,111
2023/2024,08043668,INSTITUT L'ESTATUT,08184,081846,RUBÍ,41,46,87
2023/2024,08043656,INSTITUT MARINA,08105,081056,LA LLAGOSTA,48,47,95
2023/2024,08043644,INSTITUT CARLES VALLBONA,08096,080961,GRANOLLERS,67,61,128
2023/2024,08043589,INSTITUT SALVADOR DALÍ,08169,081691,EL PRAT DE LLOBREGAT,43,22,65
2023/2024,08043516,INSTITUT SANTA EULÀLIA,08279,082798,TERRASSA,54,74,128
2023/2024,08043504,INSTITUT PERE CALDERS,08266,082665,CERDANYOLA DEL VALLÈS,23,17,40
2023/2024,08043486,INSTITUT MANOLO HUGUÉ,08033,080333,CALDES DE MONTBUI,50,30,80
2023/2024,08043474,ESCOLA L'ESTEL,08019,080193,BARCELONA,17,3,20
2023/2024,08043462,INSTITUT ERNEST LLUCH,08019,080193,BARCELONA,43,26,69
2023/2024,08043437,ESCOLA FONT DE L'ALBA,08279,082798,TERRASSA,16,5,21
2023/2024,08043401,ESCOLA BARRUFET,08200,082009,SANT BOI DE LLOBREGAT,14,7,21
2023/2024,08043395,INSTITUT ALEXANDRE DE RIQUER,08031,080312,CALAF,21,11,32
2023/2024,08043383,ESCOLA NOSTRA LLAR,08187,081878,SABADELL,26,5,31
2023/2024,08043371,ESCOLA LA LIÓ,08172,081727,PREMIÀ DE MAR,13,3,16
2023/2024,08043361,ESCOLA EL TURÓ,08125,081252,MONTCADA I REIXAC,15,2,17
2023/2024,08043346,ESCOLA MONTSERRAT,08076,080765,ESPARREGUERA,16,1,17
2023/2024,08043334,ESCOLA ALEXANDRE GALÍ,08073,080734,CORNELLÀ DE LLOBREGAT,17,1,18
2023/2024,08043310,ESCOLA EDUMAR,08056,080569,CASTELLDEFELS,28,3,31
2023/2024,08043292,ESCOLA TABOR,08019,080193,BARCELONA,27,4,31
2023/2024,08043279,ESCOLA POMPEU FABRA,08019,080193,BARCELONA,12,4,16
2023/2024,08043267,ESCOLA PAU CASALS-GRÀCIA,08019,080193,BARCELONA,26,3,29
2023/2024,08043255,ESCOLA ÍTACA,08019,080193,BARCELONA,25,5,30
2023/2024,08043115,ESCOLA PROVENÇALS,08019,080193,BARCELONA,26,5,31
2023/2024,08043103,ESCOLA ANTONI BALMANYA,08019,080193,BARCELONA,27,3,30
2023/2024,08042895,ESCOLA SCHOLA,08184,081846,RUBÍ,16,0,16
2023/2024,08042883,ESCOLA SANT JOSEP - EL PI,08101,081017,L'HOSPITALET DE LLOBREGAT,14,3,17
2023/2024,08042871,ESCOLA PATUFET SANT JORDI-FRANCESC BATALLÉ I ARA,08101,081017,L'HOSPITALET DE LLOBREGAT,30,3,33
2023/2024,08042861,ESCOLA LOLA ANGLADA,08077,080771,ESPLUGUES DE LLOBREGAT,15,1,16
2023/2024,08042858,CFA ELS TARONGERS,08121,081213,MATARÓ,9,2,11
2023/2024,08042846,CFA CORNELLÀ DE LLOBREGAT,08073,080734,CORNELLÀ DE LLOBREGAT,10,5,15
2023/2024,08042834,ESCOLA CAN PALMER,08301,083015,VILADECANS,21,2,23
2023/2024,08042810,ESCOLA CHARLES DARWIN,08169,081691,EL PRAT DE LLOBREGAT,29,3,32
2023/2024,08042809,ESCOLA GALILEO GALILEI,08169,081691,EL PRAT DE LLOBREGAT,27,2,29
2023/2024,08042792,ESCOLA DAMIÀ MATEU,08106,081069,LLINARS DEL VALLÈS,17,1,18
2023/2024,08042780,ESCOLA JOSEP MARIA JUJOL,08019,080193,BARCELONA,25,6,31
2023/2024,08042342,INSTITUT DE BADIA DEL VALLÈS,08904,089045,BADIA DEL VALLÈS,31,44,75
2023/2024,08042330,INSTITUT SANT RAMON,08047,080478,CARDONA,11,10,21
2023/2024,08042329,ESCOLA ELS XIPRERS,08019,080193,BARCELONA,11,5,16
2023/2024,08042305,ESCOLA JOAN MIRÓ,08019,080193,BARCELONA,28,2,30
2023/2024,08042299,ESCOLA SANT MIQUEL,08073,080734,CORNELLÀ DE LLOBREGAT,28,3,31
2023/2024,08042287,ESCOLA SALVADOR ESPRIU,08096,080961,GRANOLLERS,28,4,32
2023/2024,08042101,INSTITUT MANUEL VÁZQUEZ MONTALBÁN,08194,081944,SANT ADRIÀ DE BESÒS,40,23,63
2023/2024,08042093,INSTITUT VINYES VELLES,08136,081363,MONTORNÈS DEL VALLÈS,38,21,59
2023/2024,08042056,INSTITUT CAN PUIG,08231,082310,SANT PERE DE RIBES,37,31,68
2023/2024,08042044,INSTITUT MIG-MÓN,08274,082747,SÚRIA,33,16,49
2023/2024,08042020,INSTITUT VALLÈS,08187,081878,SABADELL,47,20,67
2023/2024,08042019,INSTITUT BADALONA VII,08015,080155,BADALONA,42,36,78
2023/2024,43009114,ZER EL FRANCOLÍ,43161,431613,VALLS,4,0,4
2023/2024,08041866,INSTITUT EL CALAMOT,08089,080898,GAVÀ,73,50,123
2023/2024,08041751,ESCOLA LA CAIXA,08019,080193,BARCELONA,18,1,19
2023/2024,08041726,ESCOLA ROC BLANC,08300,083008,VILADECAVALLS,19,1,20
2023/2024,08041714,ESCOLA LES BASSEROLES,08269,082690,SEVA,14,1,15
2023/2024,08041696,ESCOLA VAIXELL BURRIAC,08219,082191,VILASSAR DE MAR,24,6,30
2023/2024,08041684,ESCOLA ESPAI 3,08217,082172,SANT JOAN DESPÍ,29,1,30
2023/2024,08041672,ESCOLA CREU ALTA,08187,081878,SABADELL,15,3,18
2023/2024,08041660,ESCOLA PONT DE LA CADENA,08123,081234,MOLINS DE REI,17,0,17
2023/2024,08041659,ESCOLA MESTRES MONTAÑA,08096,080961,GRANOLLERS,28,3,31
2023/2024,08041647,ESCOLA PONENT,08096,080961,GRANOLLERS,30,8,38
2023/2024,08041611,ESCOLA JOANOT ALISANDA,08187,081878,SABADELL,30,2,32
2023/2024,08041601,ESCOLA TORRE DE LA LLEBRE,08184,081846,RUBÍ,14,5,19
2023/2024,08041581,ESCOLA GITANJALI,08015,080155,BADALONA,15,1,16
2023/2024,08041571,ESCOLA ARTUR MARTORELL,08015,080155,BADALONA,18,1,19
2023/2024,08041568,ESCOLA JUNGFRAU,08015,080155,BADALONA,26,6,32
2023/2024,08041556,ESCOLA MONTSENY,08221,082212,SANT JUST DESVERN,20,2,22
2023/2024,08041519,INSTITUT MARTÍ DOT,08211,082114,SANT FELIU DE LLOBREGAT,50,49,99
2023/2024,08041374,INSTITUT LA MALLOLA,08077,080771,ESPLUGUES DE LLOBREGAT,38,18,56
2023/2024,08041246,ESCOLA FRANCESC ALDEA I PÉREZ,08279,082798,TERRASSA,14,3,17
2023/2024,08041234,ESCOLA COLLSEROLA,08205,082055,SANT CUGAT DEL VALLÈS,26,4,30
2023/2024,08041222,ESCOLA CAN CLADELLAS,08156,081568,PALAU-SOLITÀ I PLEGAMANS,29,1,30
2023/2024,08041210,ESCOLA DEL BOSC,08252,082520,BARBERÀ DEL VALLÈS,24,4,28
2023/2024,08041180,ESCOLA ROSSELLÓ PÒRCEL,08245,082457,SANTA COLOMA DE GRAMENET,14,4,18
2023/2024,08041179,ESCOLA MESTRE ENRIC GIBERT I CAMINS,08019,080193,BARCELONA,26,7,33
2023/2024,08041167,ESCOLA JOSEP CARNER,08015,080155,BADALONA,36,5,41
2023/2024,08041131,ESCOLA SANT ANTONI,08263,082634,SANT VICENÇ DELS HORTS,13,4,17
2023/2024,08040849,INSTITUT FORT PIUS,08019,080193,BARCELONA,27,15,42
2023/2024,08040618,ESCOLA CAN VIDALET,08077,080771,ESPLUGUES DE LLOBREGAT,13,4,17
2023/2024,08040564,INSTITUT JAUME ALMERA,08214,082140,VILASSAR DE DALT,29,18,47
2023/2024,08040552,INSTITUT ANTONI POUS I ARGILA,08112,081120,MANLLEU,70,29,99
2023/2024,08040540,INSTITUT EL CAIRAT,08076,080765,ESPARREGUERA,48,15,63
2023/2024,08040539,INSTITUT LES MARINES,08056,080569,CASTELLDEFELS,45,14,59
2023/2024,08040527,INSTITUT LA LLAUNA,08015,080155,BADALONA,38,26,64
2023/2024,08040412,ESCOLA EL MARGALLÓ,08307,083073,VILANOVA I LA GELTRÚ,24,2,26
2023/2024,08040400,ESCOLA AMADEU VIVES,08187,081878,SABADELL,24,8,32
2023/2024,08040382,ESCOLA MERCÈ RODOREDA,08245,082457,SANTA COLOMA DE GRAMENET,35,3,38
2023/2024,08040357,CEE FOLCH I CAMARASA,08019,080193,BARCELONA,11,0,11
